no.elem,lp_time,bitmask_time,approx.
5,0.028614282608032227,0.0010008811950683594,1.0
5,0.028333663940429688,0.000989675521850586,1.0
9,0.023317337036132812,0.0026671886444091797,3.3
9,0.0206146240234375,0.002996683120727539,2.089430894308943
6,0.028374671936035156,0.0009992122650146484,2.2605042016806722
9,0.021433115005493164,0.0030002593994140625,4.049180327868853
8,0.022675514221191406,0.0,1.0
5,0.028455018997192383,0.0010030269622802734,1.0
6,0.02245473861694336,0.0009975433349609375,2.281045751633987
7,0.02243947982788086,0.0010004043579101562,1.0
6,0.022505760192871094,0.0020220279693603516,2.5741626794258377
10,0.032911062240600586,0.006009578704833984,3.629032258064516
5,0.030526399612426758,0.0,1.0
6,0.028958559036254883,0.0002624988555908203,1.0982456140350876
10,0.03267836570739746,0.009583473205566406,1.1530249110320285
6,0.022320985794067383,0.0009992122650146484,1.2742616033755274
9,0.023792505264282227,0.002996206283569336,1.7163120567375887
10,0.030229806900024414,0.009603023529052734,3.8130081300813012
8,0.05156445503234863,0.0,1.0
6,0.03874063491821289,0.0018832683563232422,1.3515625
10,0.06390213966369629,0.012195348739624023,2.788321167883211
9,0.05443096160888672,0.004392862319946289,4.739316239316239
9,0.02095508575439453,0.002995014190673828,3.5211267605633805
8,0.03173518180847168,0.0019991397857666016,1.0
5,0.020195722579956055,0.0009982585906982422,1.0
9,0.022526025772094727,0.0033195018768310547,1.415458937198068
9,0.02565789222717285,0.0050601959228515625,1.0
9,0.02133798599243164,0.0029952526092529297,1.1353711790393013
9,0.021215438842773438,0.0031747817993164062,0.9285714285714286
10,0.0327150821685791,0.009787559509277344,2.4716981132075473
10,0.09608268737792969,0.010629892349243164,1.9049429657794676
9,0.021901845932006836,0.0,1.3382716049382717
10,0.077911376953125,0.013413667678833008,4.256410256410257
6,0.04474902153015137,0.0009980201721191406,1.7469879518072289
10,0.04082489013671875,0.010149240493774414,2.582978723404256
6,0.026916980743408203,0.000997304916381836,2.951456310679612
7,0.021605730056762695,0.0009975433349609375,1.0
7,0.021106481552124023,0.0019783973693847656,1.0
6,0.02924346923828125,0.0019998550415039062,3.654545454545454
9,0.021408557891845703,0.0020093917846679688,3.5846153846153848
7,0.02081012725830078,0.0009980201721191406,1.0
10,0.034188270568847656,0.009610891342163086,1.6513761467889907
10,0.03013443946838379,0.008631467819213867,1.0492610837438423
5,0.03172922134399414,0.0009987354278564453,1.0
9,0.02206730842590332,0.0029997825622558594,0.7647058823529411
8,0.020588397979736328,0.0009992122650146484,1.9154411764705888
6,0.02593684196472168,0.0009982585906982422,0.6138211382113822
6,0.020658493041992188,0.0009982585906982422,1.931034482758621
7,0.026705026626586914,0.0018799304962158203,1.0
5,0.022549867630004883,0.0,1.0
